,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-28 13:58:15,復興南路二段235號前,25,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-28 13:50:12,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-05-28 13:49:04,和平東路二段96巷7號,15,1
3,YouBike2.0_和平公園東側,11,2,大安區,2023-05-28 13:57:15,和平東路二段118巷33號,9,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-28 13:42:04,復興南路二段368號,16,1
5,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-28 13:51:16,復興南路二段280號,10,1
7,YouBike2.0_新生南路三段52號前,17,2,大安區,2023-05-28 13:52:15,新生南路三段52號,14,1
9,YouBike2.0_新生南路三段82號前,20,2,大安區,2023-05-28 13:57:04,新生南路三段82號,15,1
10,YouBike2.0_辛亥路一段30號前,8,4,大安區,2023-05-28 13:58:15,辛亥路一段30號,4,1
11,YouBike2.0_和平復興路口西北側,9,1,大安區,2023-05-28 13:59:14,復興南路二段236號,7,1
13,YouBike2.0_大安運動中心停車場,14,0,大安區,2023-05-28 13:49:04,敦南街76巷28號,14,1
14,YouBike2.0_羅斯福路三段245號前,8,1,大安區,2023-05-28 13:58:15,羅斯福路三段245號,7,1
15,YouBike2.0_溫州公園,5,0,大安區,2023-05-28 13:30:31,羅斯福路三段283巷11號,5,1
16,YouBike2.0_和平臥龍街口,15,0,大安區,2023-05-28 13:39:04,臥龍街1號,15,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-28 13:46:16,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-28 13:56:04,羅斯福路四段21號旁天橋下,5,1
19,YouBike2.0_捷運公館站(2號出口),99,3,大安區,2023-05-28 13:59:14,捷運公館站(2號出口)外側,96,1
21,YouBike2.0_臺灣科技大學正門,30,1,大安區,2023-05-28 13:55:13,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),28,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-28 13:13:04,羅斯福路四段113巷基隆路四段41巷口,15,1
24,YouBike2.0_臺灣科技大學後門,39,2,大安區,2023-05-28 13:58:04,基隆路四段41巷68弄臺科帆船大樓旁,37,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,2,大安區,2023-05-28 13:57:15,基隆路三段155巷57號西側,18,1
26,YouBike2.0_臺大環研大樓,15,2,大安區,2023-05-28 13:50:23,芳蘭路/基隆路三段155巷口,13,1
28,YouBike2.0_臺大男七舍前,20,0,大安區,2023-05-28 13:56:04,長興街/長興街80巷口西側,20,1
29,YouBike2.0_臺大男一舍前,61,0,大安區,2023-05-28 13:53:03,長興街50號西北側,61,1
30,YouBike2.0_臺大男六舍前,46,1,大安區,2023-05-28 13:59:14,大安區長興街31號,45,1
34,YouBike2.0_臺大國青大樓宿舍前,20,0,大安區,2023-05-28 13:56:04,辛亥路三段30號西北側,20,1
36,YouBike2.0_臺大法人語言訓練中心前,28,4,大安區,2023-05-28 13:52:15,臺大法人語言訓練中心北側,24,1
39,YouBike2.0_基隆長興路口東側,15,1,大安區,2023-05-28 13:57:15,基隆長興路口東側,14,1
40,YouBike2.0_國北教大側門南側,25,0,大安區,2023-05-28 13:37:04,敦南街51號,24,1
41,YouBike2.0_和平實小東北側,13,2,大安區,2023-05-28 13:54:17,敦南街73號,11,1
42,YouBike2.0_大安區健康服務中心,15,2,大安區,2023-05-28 13:50:23,辛亥路三段15號,13,1
43,YouBike2.0_辛亥泰順街口,20,3,大安區,2023-05-28 12:58:14,辛亥泰順街口東南側,15,1
46,YouBike2.0_臥龍公園,14,4,大安區,2023-05-28 13:55:25,辛亥路三段223號西側,10,1
50,YouBike2.0_喬治工商,26,2,大安區,2023-05-28 13:59:14,基隆路二段166號,23,1
51,YouBike2.0_法治公園,15,1,大安區,2023-05-28 13:40:13,通化街189號西側,14,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,0,大安區,2023-05-28 13:55:13,辛亥路一段/羅斯福路三段口北側(辛亥路側),15,1
54,YouBike2.0_和平龍泉街口,34,2,大安區,2023-05-28 13:56:15,和平東路一段/龍泉街口西南側,31,1
55,YouBike2.0_和平泰順街口,9,2,大安區,2023-05-28 13:54:17,和平東路一段/泰順街口東南側,7,1
67,YouBike2.0_敦化南路二段293巷口南側,14,1,大安區,2023-05-28 13:22:14,敦化南路二段293巷口南側,13,1
68,YouBike2.0_敦化基隆路口,29,1,大安區,2023-05-28 13:30:31,敦化南路二段218號,26,1
69,YouBike2.0_安和路二段181巷口,17,2,大安區,2023-05-28 13:58:15,安和路二段185號,15,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,4,大安區,2023-05-28 13:52:15,通化街111號,25,1
71,YouBike2.0_臨江街夜市(基隆路),17,2,大安區,2023-05-28 13:51:16,基隆路二段108號,14,1
74,YouBike2.0_幸安國小(仁愛路),16,2,大安區,2023-05-28 13:50:23,仁愛路三段22號,13,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-28 13:59:04,信義路4段6號(前),13,1
80,YouBike2.0_捷運大安站(2號出口),22,4,大安區,2023-05-28 13:59:14,信義路3段143號(前),18,1
81,YouBike2.0_信義大安路口(信維大樓),12,0,大安區,2023-05-28 13:56:04,信義路四段74號(前),12,1
83,YouBike2.0_仁愛安和路口,25,0,大安區,2023-05-28 13:57:04,仁愛路四段258號前,25,1
86,YouBike2.0_捷運信義安和站(2號出口),26,2,大安區,2023-05-28 13:52:04,信義路四段188號前,24,1
87,YouBike2.0_八德市場,30,2,大安區,2023-05-28 13:59:14,市民大道三段170號,27,1
90,YouBike2.0_信義延吉街口,15,2,大安區,2023-05-28 13:57:15,信義路四段353號,13,1
