,sna,tot,sbi,sarea,mday,ar,bemp,act
1,YouBike2.0_復興南路二段273號前,21,1,大安區,2023-06-03 08:42:13,復興南路二段273號西側,20,1
4,YouBike2.0_辛亥復興路口西北側,16,1,大安區,2023-06-03 08:52:14,復興南路二段368號,15,1
5,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-06-03 08:51:13,復興南路二段280號,11,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-06-03 08:30:30,復興南路二段342號,11,1
8,YouBike2.0_新生南路三段66號前,16,1,大安區,2023-06-03 08:51:13,新生南路三段66號東側,15,1
12,YouBike2.0_羅斯福路三段311號前,11,0,大安區,2023-06-03 08:52:04,羅斯福路三段311號,10,1
13,YouBike2.0_大安運動中心停車場,14,0,大安區,2023-06-03 08:10:10,敦南街76巷28號,13,1
14,YouBike2.0_羅斯福路三段245號前,8,1,大安區,2023-06-03 08:48:04,羅斯福路三段245號,7,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-06-03 08:30:40,羅斯福路三段283巷11號,4,1
16,YouBike2.0_和平臥龍街口,15,0,大安區,2023-06-03 08:52:04,臥龍街1號,15,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-06-03 08:46:04,新生南路三段54巷/溫州街口,4,1
21,YouBike2.0_臺灣科技大學正門,30,1,大安區,2023-06-03 08:47:04,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),29,1
24,YouBike2.0_臺灣科技大學後門,39,0,大安區,2023-06-03 08:52:04,基隆路四段41巷68弄臺科帆船大樓旁,39,1
26,YouBike2.0_臺大環研大樓,15,1,大安區,2023-06-03 07:44:04,芳蘭路/基隆路三段155巷口,14,1
33,YouBike2.0_臺大萬才館前,20,0,大安區,2023-06-03 08:29:04,臺大萬才館北側,20,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,0,大安區,2023-06-03 08:19:04,辛亥路一段/羅斯福路三段口北側(辛亥路側),15,1
55,YouBike2.0_和平泰順街口,9,1,大安區,2023-06-03 08:50:20,和平東路一段/泰順街口東南側,8,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-06-03 08:45:04,和平東路一段19號前,14,1
62,YouBike2.0_金華公園,35,1,大安區,2023-06-03 08:52:14,金華街249號對面,33,1
64,YouBike2.0_金甌女中,12,1,大安區,2023-06-03 08:40:20,信義路二段與杭州南路二段東南側,11,1
69,YouBike2.0_安和路二段181巷口,17,1,大安區,2023-06-03 08:51:03,安和路二段185號,16,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-06-03 08:51:13,通化街111號,29,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
78,YouBike2.0_捷運忠孝復興站(2號出口),43,0,大安區,2023-06-03 08:49:04,復興南路一段/仁愛路三段123巷13弄(西北側),43,1
79,YouBike2.0_捷運大安站(4號出口),13,1,大安區,2023-06-03 08:51:13,信義路4段6號(前),11,1
91,YouBike2.0_光信公園(光復南路456巷),15,1,大安區,2023-06-03 08:29:14,延吉街249號,14,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,1,大安區,2023-06-03 08:48:04,新生南路一段101號,14,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,0,大安區,2023-06-03 08:49:04,忠孝東路三段與10巷口,23,1
102,YouBike2.0_東豐公園,19,0,大安區,2023-06-03 08:14:04,東豐街24號(旁公園路側),19,1
103,YouBike2.0_德安公園(四維路66巷),14,1,大安區,2023-06-03 08:46:04,四維路66巷6號北側,13,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,0,大安區,2023-06-03 08:49:04,忠孝東路四段143號,18,1
122,YouBike2.0_仁愛路四段48巷口,11,0,大安區,2023-06-03 08:25:04,仁愛路四段48巷/東豐街(北側),11,1
124,YouBike2.0_臺北科技大學(電機工程系),16,1,大安區,2023-06-03 08:32:04,忠孝東路三段100號對側,15,1
127,YouBike2.0_辛亥新生路口西北側,12,1,大安區,2023-06-03 08:50:10,辛亥路一段/新生南路三段(西北側),11,1
130,YouBike2.0_辛亥路三段157巷口,19,1,大安區,2023-06-03 08:49:14,辛亥路三段與辛亥路三段157巷口西北側,18,1
133,YouBike2.0_大安運動中心,27,0,大安區,2023-06-03 08:35:04,辛亥路三段55號前方人行道(大安運動中心),27,1
134,YouBike2.0_和平敦化路口,25,0,大安區,2023-06-03 08:48:04,和平東路三段 / 敦化南路二段口(東側),25,1
136,YouBike2.0_仁愛路四段122巷口,16,1,大安區,2023-06-03 08:51:14,仁愛路四段118號前,15,1
137,YouBike2.0_市民敦化路口,15,0,大安區,2023-06-03 08:44:03,敦化南路一段111號前,15,1
138,YouBike2.0_忠孝東路四段49巷口,15,1,大安區,2023-06-03 08:40:20,忠孝東路四段55號前,13,1
139,YouBike2.0_市民復興路口(東南側),16,0,大安區,2023-06-03 08:37:04,市民大道四段/復興路一段口(東南側),16,1
140,YouBike2.0_和平新生路口西南側,13,0,大安區,2023-06-03 08:51:14,新生南路三段2號前,13,1
145,YouBike2.0_外交部外交及國際事務學院,17,0,大安區,2023-06-03 08:52:14,敦化南路一段280號,17,1
149,YouBike2.0_信義路四段199巷,15,0,大安區,2023-06-03 08:32:04,信義路四段199巷/安和路一段90巷口,15,1
150,YouBike2.0_臺大資訊大樓,40,0,大安區,2023-06-03 08:23:04,辛亥路二段(臺大外語學院外),40,1
153,YouBike2.0_捷運國父紀念館站(1號出口),25,1,大安區,2023-06-03 08:47:14,光復南路200巷26號東側,24,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-06-03 08:27:04,通化街143巷33號對側,13,1
162,YouBike2.0_仁愛延吉路口(西北側),18,1,大安區,2023-06-03 08:49:14,仁愛路四段363號前,17,1
170,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-06-03 08:44:03,重慶北路三段260號前,30,1
175,YouBike2.0_酒泉延平路口,26,1,大同區,2023-06-03 08:51:14,酒泉街235號前,25,1
181,YouBike2.0_大稻埕公園,25,0,大同區,2023-06-03 08:28:04,安西街1巷7號(對側),25,1
185,YouBike2.0_捷運大橋頭站(1A出口),18,1,大同區,2023-06-03 08:50:20,民權西路237號旁,17,1
189,YouBike2.0_朝陽公園,10,0,大同區,2023-06-03 08:44:03,重慶北路二段62-1號旁,10,1
192,YouBike2.0_重慶涼州街口,13,1,大同區,2023-06-03 08:39:14,重慶北路二段180號旁,11,1
194,YouBike2.0_圓環站,28,1,大同區,2023-06-03 08:50:20,重慶北路一段128號前,27,1
199,YouBike2.0_聯合醫院中興院區,27,1,大同區,2023-06-03 08:23:15,長安西路299號(對面),26,1
208,YouBike2.0_南京太原路口,18,0,大同區,2023-06-03 08:21:04,南京西路/太原路(東側),18,1
209,YouBike2.0_承德民生西路口,11,1,大同區,2023-06-03 08:40:20,承德路二段137號前,10,1
216,YouBike2.0_大同16號廣場,14,0,大同區,2023-06-03 03:58:04,環河北路一段/民生西路口(東南側),14,1
220,YouBike2.0_成淵高中,14,0,大同區,2023-06-03 08:37:04,錦西街與錦西街52巷口東北側,14,1
234,YouBike2.0_天母棒球場,26,1,士林區,2023-06-03 08:52:04,忠誠路二段122號(對面),25,1
235,YouBike2.0_天母北天玉街口,15,0,士林區,2023-06-03 08:48:04,天母北路33號(前),15,1
239,YouBike2.0_忠誠路一段173巷口,11,1,士林區,2023-06-03 08:39:14,忠誠路一段177號(前),10,1
258,YouBike2.0_兒童新樂園,23,1,士林區,2023-06-03 08:47:14,承德路五段55號(旁公車亭),22,1
260,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
263,YouBike2.0_銘傳大學,30,0,士林區,2023-05-31 09:39:15,中山北路五段250號(銘傳大學對側),29,0
286,YouBike2.0_社子島島頭公園,15,0,士林區,2023-06-03 07:49:04,延平北路九段323號(後方堤外),15,1
291,YouBike2.0_福安消防分隊,15,0,士林區,2023-06-03 08:52:14,延平北路七段42之7號(對面),15,1
295,YouBike2.0_蘭雅國小,27,1,士林區,2023-06-03 08:46:15,礦溪街與中山北路六段195巷口,26,1
300,YouBike2.0_東山路110巷口,16,0,士林區,2023-06-03 08:34:04,東山路114號對側,16,1
311,YouBike2.0_社子國小_1,20,1,士林區,2023-06-03 08:51:04,延平北路六段/社中街(社子國小對面跨提便道橋下),19,1
318,YouBike2.0_承德劍潭路口,19,1,士林區,2023-06-03 08:52:14,承德路四段與劍潭路口西側,18,1
319,YouBike2.0_文林路101巷口,7,1,士林區,2023-06-03 08:29:14,文林路100號前,6,1
323,YouBike2.0_中山福國路口,14,0,士林區,2023-05-29 11:56:14,中山北路五段837號前,14,0
324,YouBike2.0_德行公園,14,0,士林區,2023-06-03 08:51:03,德行西路33號對側,14,1
351,YouBike2.0_景美醫院,18,1,文山區,2023-06-03 08:52:04,羅斯福路六段280號(前),17,1
356,YouBike2.0_捷運動物園站,18,1,文山區,2023-06-03 08:51:03,新光路二段30號(對面),17,1
357,YouBike2.0_捷運木柵站,31,1,文山區,2023-06-03 08:50:10,木柵路四段82巷18號前(捷運橋樑下),30,1
360,YouBike2.0_捷運辛亥站,29,1,文山區,2023-06-03 08:24:13,辛亥路四段114號(旁人行道),28,1
387,YouBike2.0_辛亥生態公園,18,0,文山區,2023-06-03 07:06:04,辛亥路四段199號,18,1
396,YouBike2.0_木南公園,12,1,文山區,2023-06-03 08:51:14,木新路二段永安街22巷口,11,1
399,YouBike2.0_捷運動物園站(2號出口),39,1,文山區,2023-06-03 08:38:04,新光路二段28號前,38,1
403,YouBike2.0_景美污水抽水站,15,1,文山區,2023-06-03 08:52:04,汀州路四段10號北側人行道,14,1
415,YouBike2.0_萬美萬安街口,16,0,文山區,2023-06-03 07:42:03,萬美街一段/萬安街口,16,1
417,YouBike2.0_新光秀明路口,15,1,文山區,2023-06-03 08:52:14,新光路一段145號前,14,1
424,YouBike2.0_捷運臺電大樓站(1號出口),34,0,中正區,2023-06-03 08:12:04,辛亥路一段/羅斯福路三段南側,34,1
428,YouBike2.0_捷運臺電大樓站(5號出口),14,1,中正區,2023-06-03 08:46:15,羅斯福路三段126號前,13,1
433,YouBike2.0_捷運古亭站(7號出口),12,1,中正區,2023-06-03 08:04:13,羅斯福路二段44號前方,11,1
437,YouBike2.0_羅斯福路二段6巷口,14,0,中正區,2023-06-03 08:33:03,羅斯福路二段/羅斯福路二段6巷口,14,1
439,YouBike2.0_捷運中正紀念堂站(3號出口),18,1,中正區,2023-06-03 08:52:14,金華街17號前方,17,1
440,YouBike2.0_捷運中正紀念堂站(4號出口),21,1,中正區,2023-06-03 08:44:03,羅斯福路一段5號前方,19,1
444,YouBike2.0_永昌公園,15,1,中正區,2023-06-03 08:37:04,詔安街224號前,14,1
455,YouBike2.0_捷運善導寺站(1號出口),33,0,中正區,2023-06-03 06:17:12,忠孝東路一段7號,33,1
460,YouBike2.0_捷運善導寺站(3號出口),20,1,中正區,2023-06-03 08:51:14,林森南路1號南側,19,1
480,YouBike2.0_捷運忠孝新生站(2號出口),32,1,中正區,2023-06-03 08:52:14,忠孝東路二段132號(東側),31,1
484,YouBike2.0_北平東杭州北路口,20,0,中正區,2023-06-03 08:13:04,北平東路/杭州北路口(東北側),20,1
491,YouBike2.0_臺北市國父史蹟館(逸仙公園),31,0,中正區,2023-06-03 07:54:04,中山北路一段46號北側,31,1
501,YouBike2.0_仁愛金山路口,9,0,中正區,2023-06-03 08:42:04,仁愛路二段31號前,8,1
502,YouBike2.0_杭州南路一段101巷口,14,0,中正區,2023-06-03 08:48:04,金山南路一段72號前,14,1
503,YouBike2.0_仁愛杭州路口,15,0,中正區,2023-06-03 08:42:04,仁愛路一段59號旁,15,1
507,YouBike2.0_林森北平路口,20,0,中正區,2023-06-03 08:43:04,林森北路與北平東路口西北側,20,1
508,YouBike2.0_北平紹興路口,15,0,中正區,2023-06-03 08:40:10,北平東路30號對側人行道,15,1
511,YouBike2.0_捷運忠孝新生站(5號出口),13,1,中正區,2023-06-03 07:56:04,新生南路一段56號前方,12,1
515,YouBike2.0_仁愛紹興街口(南側),17,1,中正區,2023-06-03 06:25:15,仁愛路一段/紹興南街口(南側),16,1
518,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,1,中正區,2023-06-03 08:51:03,忠孝東路一段/林森南路口,16,1
522,YouBike2.0_仁愛金山路口(東南側),14,0,中正區,2023-06-03 08:52:04,仁愛路二段48-4號前,14,1
525,YouBike2.0_文光公園,17,1,中正區,2023-06-03 08:49:04,仁愛路二段65巷4號對側,16,1
526,YouBike2.0_捷運中正紀念堂站(2號出口),12,0,中正區,2023-06-03 08:17:14,羅斯福路一段10號前,12,1
528,YouBike2.0_螢橋公園,15,1,中正區,2023-06-03 07:28:14,和平西路一段110號旁,13,1
540,YouBike2.0_復興市民路口,45,1,中山區,2023-06-03 08:52:04,復興南路一段36-9號前人行道,44,1
542,YouBike2.0_伊通長安路口,21,1,中山區,2023-06-03 08:47:04,伊通街/長安東路二段(西南側路側),20,1
543,YouBike2.0_新生長安路口,20,0,中山區,2023-06-03 08:44:03,新生北路一段/長安東路二段交叉口(北側),19,1
547,YouBike2.0_松江公園,25,1,中山區,2023-06-03 08:51:03,松江路/松江路84巷(西北側路側),24,1
551,YouBike2.0_興安華城,62,0,中山區,2023-06-03 08:46:04,興安街53-4號對側,61,1
554,YouBike2.0_建國長春路口,16,0,中山區,2023-06-03 08:45:04,建國北路/長春路口(南側),16,1
555,YouBike2.0_南京建國路口,42,1,中山區,2023-06-03 08:36:15,南京東路二段/建國北路二段(北側),41,1
557,YouBike2.0_朱崙商場,31,0,中山區,2023-06-03 08:48:04,龍江路15號前,31,1
558,YouBike2.0_中吉公園,15,1,中山區,2023-06-03 08:51:03,松江路170巷20號對側,14,1
563,YouBike2.0_捷運中山國小站(2號出口),59,1,中山區,2023-06-03 08:43:14,捷運中山國小站(2號出口)後方,58,1
